param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.010042630136013031,0.0012863268089848949,0.0026063456853574786,0.007436284450655552,0.01264897582137051,2.450897275040163e-09
p2,0.09861114621162415,0.09771927920763643,0.1979980670231501,-0.09938692081152595,0.29660921323477424,0.31946792572334737
p3,0.002646464155986905,0.0022526339279410165,0.0045642698867577455,-0.0019178057307708404,0.007210734042744651,0.247567954930794
p4,0.28899675607681274,0.12494289877760881,0.25315835981219986,0.03583839626461288,0.5421551158890126,0.026384225685064096
p6,0.1833503097295761,0.057207380440363755,0.11591316307790392,0.06743714665167219,0.29926347280748,0.0027808976473942012
p8,0.0932677611708641,0.029454898367708288,0.059681293071938944,0.03358646809892516,0.15294905424280306,0.003086446841688334
p9,0.0008079811814241111,0.004208845219498234,0.008527930461803418,-0.007719949280379307,0.009335911643227529,0.8488137215826941
w0 (estimated),0.024225354194641113,,,,,
x0 (fixed),6.052127361297607,,,,,
y0 (fixed),41.27791976928711,,,,,
z0 (fixed),0.1707180142402649,,,,,
W0 (fixed),0.0,,,,,
